entry_date,exit_date,expiration,short_strike,long_strike,net_credit,exit_value,contracts,pnl,return_pct,exit_reason,dte_at_entry,hold_days,vix,realized_vol_20d,regime,spy_price_entry
2020-02-10,2020-02-11,2020-03-16,310.0,305.0,0.26,0.1,2,32.0,61.54,profit_target,35,1,15.04,13.64,neutral,305.85
2020-04-08,2020-04-14,2020-05-15,234.0,229.0,0.61,0.3,2,62.0,50.82,profit_target,37,3,43.35,88.3,crash,251.9
2020-05-11,2020-06-15,2020-06-15,250.0,245.0,0.26,0.0,2,52.0,100.0,expiration,35,24,27.57,28.35,high_vol,268.88
2020-07-13,2020-07-14,2020-08-17,300.0,295.0,1.08,0.51,2,114.0,52.78,profit_target,35,1,32.19,19.59,high_vol,290.69
2020-09-09,2020-09-16,2020-10-16,291.0,286.0,0.27,0.13,2,28.0,51.85,profit_target,37,5,28.81,20.56,high_vol,313.72
2020-10-12,2020-10-28,2020-11-16,310.0,305.0,0.33,1.77,2,-288.0,-436.36,close_stop_loss,35,12,25.07,19.65,high_vol,326.7
2020-12-09,2020-12-17,2021-01-15,316.0,311.0,0.2,0.1,2,20.0,50.0,profit_target,37,6,22.27,13.06,bull,340.06
2021-02-08,2021-02-11,2021-03-15,340.0,335.0,0.23,0.0,2,46.0,100.0,profit_target,35,3,21.24,16.76,neutral,363.54
2021-03-10,2021-03-15,2021-04-16,334.0,329.0,0.21,0.04,2,34.0,80.95,profit_target,37,3,22.56,17.92,neutral,362.67
2021-04-12,2021-04-13,2021-05-17,375.0,370.0,0.3,0.11,2,38.0,63.33,profit_target,35,1,16.91,11.62,bull,384.46
2021-07-12,2021-07-19,2021-08-16,400.0,395.0,0.21,-0.03,2,48.0,114.29,profit_target,35,5,16.17,9.99,bull,409.56
2021-09-08,2021-09-15,2021-10-15,396.0,391.0,0.21,0.08,2,26.0,61.9,profit_target,37,5,17.96,7.98,neutral,422.52
2021-10-11,2021-10-14,2021-11-15,385.0,380.0,0.24,0.09,2,30.0,62.5,profit_target,35,3,20.0,15.56,neutral,408.63
2022-04-11,2022-04-18,2022-05-16,415.0,410.0,0.81,0.4,2,82.0,50.62,profit_target,35,4,24.37,19.21,bull,416.28
2022-06-08,2022-06-14,2022-07-15,362.0,357.0,0.34,1.65,2,-262.0,-385.29,close_stop_loss,37,4,23.96,26.54,bull,389.13
2022-07-11,2022-07-19,2022-08-15,340.0,335.0,0.3,0.13,2,34.0,56.67,profit_target,35,6,26.17,28.8,high_vol,365.16
2022-08-10,2022-08-15,2022-09-16,371.0,366.0,0.23,0.1,2,26.0,56.52,profit_target,37,3,19.74,19.25,bull,399.14
2022-09-12,2022-10-17,2022-10-17,365.0,360.0,0.24,5.0,2,-952.0,-1983.33,expiration,35,25,23.87,20.17,neutral,390.57
2022-11-09,2022-11-10,2022-12-16,332.0,327.0,0.37,0.11,2,52.0,70.27,profit_target,37,1,26.09,26.29,high_vol,357.02
2022-12-14,2023-01-04,2023-01-20,352.0,347.0,0.2,0.07,2,26.0,65.0,profit_target,37,13,21.14,18.32,neutral,381.13
2023-01-11,2023-01-23,2023-02-17,353.0,348.0,0.21,0.08,2,26.0,61.9,profit_target,37,7,21.09,19.32,neutral,379.16
2023-02-08,2023-03-02,2023-03-17,365.0,360.0,0.21,0.09,2,24.0,57.14,profit_target,37,15,19.63,16.77,bull,393.67
2023-03-15,2023-03-21,2023-04-21,345.0,340.0,0.29,0.08,2,42.0,72.41,profit_target,37,4,26.14,16.48,high_vol,373.18
2023-04-12,2023-04-13,2023-05-19,366.0,361.0,0.23,0.11,2,24.0,52.17,profit_target,37,1,19.09,14.22,bull,392.67
2023-05-10,2023-05-18,2023-06-16,369.0,364.0,0.21,0.05,2,32.0,76.19,profit_target,37,6,16.94,14.42,neutral,397.29
2023-08-09,2023-08-11,2023-09-15,402.0,397.0,0.29,-0.13,2,84.0,144.83,profit_target,37,2,15.96,9.78,neutral,430.54
2024-04-10,2024-04-11,2024-05-17,466.0,461.0,0.26,0.03,2,46.0,88.46,profit_target,37,1,15.8,9.68,neutral,501.91
2024-08-14,2024-08-15,2024-09-20,499.0,494.0,0.24,0.12,2,24.0,50.0,profit_target,37,1,16.19,21.56,neutral,532.54
2024-09-11,2024-09-13,2024-10-18,505.0,500.0,0.25,0.12,2,26.0,52.0,profit_target,37,2,17.69,14.84,neutral,542.99
2024-10-09,2024-10-14,2024-11-15,527.0,522.0,0.38,0.18,2,40.0,52.63,profit_target,37,3,20.86,9.95,bull,566.98
2024-11-13,2024-11-25,2024-12-20,547.0,542.0,0.22,0.09,2,26.0,59.09,profit_target,37,8,14.02,13.4,low_vol,586.68
2025-01-15,2025-01-21,2025-02-21,547.0,542.0,0.22,0.09,2,26.0,59.09,profit_target,37,3,16.12,17.71,neutral,584.3
2025-02-12,2025-02-18,2025-03-21,556.0,551.0,0.24,0.11,2,26.0,54.17,profit_target,37,3,15.89,12.26,bull,594.73
2025-04-09,2025-04-10,2025-05-16,504.0,499.0,0.28,1.48,2,-240.0,-428.57,close_stop_loss,37,1,33.62,50.22,high_vol,542.4
2025-05-14,2025-05-30,2025-06-20,540.0,535.0,0.31,0.12,2,38.0,61.29,profit_target,37,11,18.62,22.09,bull,580.93
2025-06-11,2025-06-24,2025-07-18,553.0,548.0,0.33,0.1,2,46.0,69.7,profit_target,37,8,17.26,12.05,neutral,594.54
2025-07-09,2025-07-21,2025-08-15,575.0,570.0,0.25,0.11,2,28.0,56.0,profit_target,37,8,15.94,10.04,bull,618.81
2025-08-13,2025-08-27,2025-09-19,595.0,590.0,0.21,0.08,2,26.0,61.9,profit_target,37,10,14.49,10.77,low_vol,639.47
2025-09-10,2025-09-12,2025-10-17,602.0,597.0,0.31,0.1,2,42.0,67.74,profit_target,37,2,15.35,8.67,neutral,646.72
2025-10-15,2025-11-21,2025-11-21,615.0,610.0,0.28,0.0,2,56.0,100.0,expiration,37,27,20.64,12.86,neutral,661.4
2025-11-12,2025-11-26,2025-12-19,632.0,627.0,0.33,0.15,2,36.0,54.55,profit_target,37,10,17.51,11.95,neutral,679.51
