feature,gain_mean,gain_std,gain_stability,perm_mean,perm_std,perm_stability,rank_gain,rank_perm,rank_composite
net_credit,0.068177,0.005744,0.9223,0.095205,0.07826,0.5488,4,1,2.5
contracts,0.11626,0.084939,0.5778,0.013494,0.011498,0.5399,3,3,3.0
strategy_type_CS,0.183759,0.097403,0.6536,0.008436,0.004193,0.668,1,5,3.0
max_loss_per_unit,0.027043,0.008588,0.759,0.020594,0.024452,0.4572,8,2,5.0
spread_type_bull_put,0.126499,0.029951,0.8086,0.002546,0.008353,0.2336,2,12,7.0
otm_pct,0.056917,0.019625,0.7436,0.003797,0.00484,0.4396,5,11,8.0
iv_rank,0.02755,0.015758,0.6361,0.004356,0.015183,0.2229,7,9,8.0
realized_vol_5d,0.024197,0.004372,0.847,0.005677,0.004465,0.5597,10,7,8.5
dte_at_entry,0.033153,0.034282,0.4916,0.001749,0.00432,0.2882,6,14,10.0
hold_days,0.023606,0.015681,0.6009,0.004743,0.006726,0.4135,12,8,10.0
ma20_slope_ann_pct,0.017602,0.010691,0.6221,0.007003,0.019144,0.2678,16,6,11.0
vix_percentile_50d,0.019329,0.011594,0.6251,0.004223,0.00664,0.3887,15,10,12.5
realized_vol_20d,0.02704,0.011908,0.6942,0.001284,0.002954,0.303,9,16,12.5
momentum_10d_pct,0.014572,0.008704,0.6261,0.01107,0.009803,0.5303,22,4,13.0
rsi_14,0.015587,0.009651,0.6176,0.001311,0.00428,0.2345,20,15,17.5
momentum_5d_pct,0.019501,0.005564,0.778,2.6e-05,0.002392,0.0108,14,22,18.0
dist_from_ma200_pct,0.014564,0.008649,0.6274,0.001976,0.004562,0.3022,23,13,18.0
dist_from_ma50_pct,0.015027,0.008573,0.6367,0.001084,0.002537,0.2993,21,17,19.0
realized_vol_10d,0.015701,0.009444,0.6244,0.00021,0.003925,0.0508,19,20,19.5
dist_from_ma80_pct,0.012948,0.007445,0.6349,0.000521,0.002645,0.1646,26,19,22.5
spy_price,0.011629,0.006716,0.6339,0.000776,0.001066,0.4214,28,18,23.0
days_since_last_trade,0.012019,0.006789,0.639,0.000115,0.004326,0.0259,27,21,24.0
ma50_slope_ann_pct,0.023397,0.011988,0.6612,-0.000648,0.003124,0.0,13,36,24.5
vix_percentile_20d,0.023764,0.008711,0.7318,-0.001191,0.01101,0.0,11,38,24.5
regime_high_vol,0.0,0.0,0.0,0.0,0.0,0.0,30,23,26.5
strategy_type_IC,0.0,0.0,0.0,0.0,0.0,0.0,30,23,26.5
regime_low_vol,0.0,0.0,0.0,0.0,0.0,0.0,30,23,26.5
strategy_type_SS,0.0,0.0,0.0,0.0,0.0,0.0,30,23,26.5
spread_type_bear_call,0.0,0.0,0.0,0.0,0.0,0.0,30,23,26.5
regime_crash,0.0,0.0,0.0,0.0,0.0,0.0,30,23,26.5
spread_type_unknown,0.0,0.0,0.0,0.0,0.0,0.0,30,23,26.5
regime_bear,0.0,0.0,0.0,0.0,0.0,0.0,30,23,26.5
spread_width,0.0,0.0,0.0,0.0,0.0,0.0,30,23,26.5
regime_bull,0.0,0.0,0.0,0.0,0.0,0.0,30,23,26.5
vix_percentile_100d,0.016135,0.009622,0.6264,-0.000857,0.000717,0.0,18,37,27.5
vix,0.016844,0.010067,0.6259,-0.002261,0.003107,0.0,17,39,28.0
dist_from_ma20_pct,0.014141,0.008049,0.6373,-0.000146,0.003704,0.0,24,34,29.0
realized_vol_atr20,0.013381,0.007904,0.6287,-2.3e-05,0.001847,0.0,25,33,29.0
day_of_week,0.009659,0.008848,0.5219,-0.000479,0.001732,0.0,29,35,32.0
